SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
167705228,2017-07-24,TRESPASS,140.05,Penal Law,TRESPASS,45-64,M,BLACK,0,BRONX,44,1006434.0,244344.0,40.83732351,-73.91983076,POINT (-73.91983075699994 40.83732351100008),2017
311103030,2025-08-12,NON PAYMENT OF FARE (OTHER),1050.4(A),(null),(null),(null),(null),BLACK HISPANIC,1,BROOKLYN,72,984128.0,179058.0,40.65815775,-74.00044115,POINT (-74.0004411548878 40.6581577535544),2025
213508396,2020-05-26,FEDERAL MOTOR VEH. SAFETY REG,,NYS Transportation,NYS TRANS,65+,M,WHITE,0,BROOKLYN,72,985170.0,181606.0,40.66515141,-73.99668524,POINT (-73.99668524 40.66515141),2020
148799596,2015-12-19,UNLICENSED OPERATOR,509,VTL,VTL,18-24,M,,0,BRONX,43,1020316.0,239179.0,40.8231013,-73.86969046,POINT (-73.86969046099993 40.82310129900002),2015
162741465,2017-03-12,IDLING OF VEHICLE,24-163,Administrative Code,TLC,25-44,M,BLACK,0,BROOKLYN,69,1012774.0,171525.0,40.63743537,-73.89722741,POINT (-73.89722740899998 40.63743537100004),2017
186231323,2018-08-09,OTHER TRANSIT REG,9999,ABC,OTHER ABC,25-44,M,BLACK HISPANIC,1,BRONX,50,1012345.0,263323.0,40.88939828,-73.89838947,POINT (-73.89838947 40.88939828),2018
255552983,2022-12-07,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK,0,QUEENS,114,1008076.0,213835.0,40.753573,-73.914003,POINT (-73.914003 40.753573),2022
165275717,2017-05-28,NO SECURITY GUARD LICENSE,89-C,General Business Law,BUSINESS,45-64,M,WHITE HISPANIC,0,BRONX,52,1010153.0,253042.0,40.86118682,-73.90635708,POINT (-73.90635707999998 40.86118681700003),2017
145059732,2015-08-01,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BROOKLYN,79,998014.0,188614.0,40.68437614,-73.95037386,POINT (-73.950373857 40.68437614000004),2015
159457203,2016-11-19,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,25-44,M,BLACK,0,QUEENS,113,1039522.0,192132.0,40.69387035,-73.80068374,POINT (-73.80068374399998 40.69387035200003),2016
294370025,2024-10-04,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),65+,M,WHITE HISPANIC,0,BRONX,45,1025206.0,245507.0,40.840442,-73.851979,POINT (-73.851979 40.840442),2024
144252391,2015-07-04,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BROOKLYN,67,998923.0,171506.0,40.63741699,-73.94713359,POINT (-73.94713358699995 40.637416993000045),2015
153925960,2016-06-10,OTHER TLC,9999,TLC,OTHER TLC,25-44,M,UNKNOWN,0,MANHATTAN,18,988634.0,216108.0,40.75985015,-73.98417655,POINT (-73.98417655399999 40.75985014900005),2016
208757118,2020-01-30,FEDERAL MOTOR VEH. SAFETY REG,,NYS Transportation,NYS TRANS,UNKNOWN,,,0,NEW YORK,1,982611.0,202413.0,40.72226171,-74.0059144,POINT (-74.0059144 40.72226171),2020
152017880,2016-04-10,DISCON: OBSTRUCT VEHICLE,240.205B,Penal Law,DISORDERLY CONDUCT,25-44,M,UNKNOWN,0,MANHATTAN,10,984340.0,216674.0,40.76140476,-73.99967657,POINT (-73.99967656899997 40.76140476000006),2016
213782502,2020-06-02,PROHIBITS VIOLATIONS OF ANY EMERGENCY MEASURES ESTABLISHED BY THE MAYOR,,,,25-44,M,BLACK,0,QUEENS,103,1040590.0,196082.0,40.70470542,-73.79679938,POINT (-73.79679938 40.70470542),2020
142975351,2015-05-16,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,,0,BRONX,52,1010676.0,253888.0,40.86350728,-73.904463,POINT (-73.90446299999998 40.86350728100007),2015
199887771,2019-07-17,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,1,BRONX,41,1012791.0,238814.0,40.822127,-73.89688076,POINT (-73.89688075599997 40.822126997000055),2019
211576279,2020-03-29,TRESPASS,140.05,Penal Law,TRESPASS,45-64,M,BLACK,0,MANHATTAN,13,987033.0,207016.0,40.73489554,-73.98995943,POINT (-73.98995943 40.73489554),2020
154944270,2016-07-14,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,UNKNOWN,0,QUEENS,110,1025005.0,211161.0,40.74617906,-73.85291852,POINT (-73.85291851799997 40.746179064000046),2016
301904250,2025-03-01,MOTORCYCLE (OTHER),381,VTL,VTL,(null),(null),BLACK,0,BRONX,40,1008345.0,235949.0,40.81426835,-73.91295333,POINT (-73.91295332540044 40.81426834572852),2025
167031556,2017-07-12,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,104,1012322.0,196771.0,40.70673139,-73.89875086,POINT (-73.89875085999995 40.706731389000026),2017
166263018,2017-06-19,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,WHITE HISPANIC,0,BRONX,52,1013049.0,253439.0,40.86226749,-73.89588578,POINT (-73.89588578099993 40.86226749000008),2017
299762949,2025-01-21,NO TAX STAMP,11-809,Administrative Code,TLC,(null),(null),(null),0,MANHATTAN,14,988083.0,212199.0,40.749121,-73.986166,POINT (-73.986166 40.749121),2025
308079456,2025-06-14,BICYCLE INFRACTION (COMMERCIAL),10-157,Administrative Code,BIKE,(null),(null),BLACK HISPANIC,2,NEW YORK,26,996279.0,235478.0,40.813009,-73.956544,POINT (-73.956544 40.813009),2025
253488950,2022-11-02,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,(null),(null),45-64,M,BLACK,0,BRONX,44,1005429.0,240007.0,40.82541387,-73.92347498,POINT (-73.92347498 40.82541387),2022
